Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.
5020813,SOMERVILLE,10-Sep-2021,4:17 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,20 GRAND UNION BLVD,,,,,,
5020494,SOMERVILLE,10-Sep-2021,10:15 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Changing lanes,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,Rte 93 S / RAMP-RT 28 TO RT 93 SB,,,RT38 TO RT93S ON RAMP,,234582.1173,904280.4411
5020824,SOMERVILLE,10-Sep-2021,11:08 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,316 BEACON ST,,,,,231802.82644381,903827.08544863
5020808,SOMERVILLE,10-Sep-2021,11:17 PM,Unknown,Not reported,2,0,0,Head-on,V1: Travelling straight ahead / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - unknown roadway lighting,Clear/Clear,MEDFORD ST / PEARL ST,MEDFORD ST / PEARL ST,,,,,233242.9373,904278.1873
5012650,SOMERVILLE,12-Sep-2021,5:25 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with curb),V1:(Motorcycle),Dry,Daylight,Clear,,800 feet S from Intersection  MCGRATH HIGHWAY Rte SR28 N / POPLAR STREET,,,,,234128.67681215,902868.75719224
5020899,SOMERVILLE,13-Sep-2021,9:49 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Single vehicle crash,V2: Parked / V3: Parked / V1: Travelling straight ahead,V2: Not Reported / V3: Not Reported / V1: E,V2:(Collision with tree) / V3:(Collision with tree) / V1:(Collision with tree),V2:(Passenger car) / V3:(Passenger car) / V1:(Single-unit truck (3-or-more axles)),Dry,Daylight,Clear,,11 SUMMIT AV,,,,,233307.25390485,903762.9310798
5020826,SOMERVILLE,13-Sep-2021,2:01 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: E,V1:(Collision with bridge overhead structure),V1:(Single-unit truck (3-or-more axles)),Dry,Daylight,Clear,,11 GILMAN ST,,,,,233805.34723369,903857.10956504
5008283,SOMERVILLE,13-Sep-2021,3:10 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,MYSTIC AVENUE Rte 38 S / SHORE DRIVE,,,,,233646.9071,905276.2661
5019035,SOMERVILLE,14-Sep-2021,11:45 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: Not Reported / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,ALEWIFE BROOK PARKWAY Rte UNKNOW,ALEWIFE BROOK PARKWAY Rte UNKNOW,,,,,230500.0313,907407.2502
5020828,SOMERVILLE,14-Sep-2021,4:30 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Entering traffic lane,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,133 MIDDLESEX AVE,,,,,234281.08866323,904999.09821122
5020897,SOMERVILLE,14-Sep-2021,6:40 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Parked / V2: Turning right,V1: Not Reported / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Other),Dry,Daylight,Clear/Clear,PARKER ST / WASHINGTON ST,PARKER ST / WASHINGTON ST,,,,,232929.6322,903283.4378
5008011,SOMERVILLE,14-Sep-2021,9:45 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,,Rte 28 S / MYSTIC AVENUE,,,,,234095.8653,904837.4002
5020829,SOMERVILLE,15-Sep-2021,10:41 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: W  / V2: W,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,,100 DOVER ST,,,,,230971.28836538,905159.05533093
5015648,SOMERVILLE,16-Sep-2021,5:24 AM,Non-fatal injury,Suspected Minor Injury (B),4,3,0,Angle,V1: Changing lanes / V2: Travelling straight ahead / V3: Slowing or stopped in traffic / V4: Travelling straight ahead,V1: N  / V2: N  / V3: N  / V4: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic) / V4:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Passenger car) / V4:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - roadway not lighted,Rain,,Rte 93 N,Rte 93 N Milemarker 19.6,,,,234879.93496997,903749.5241004
5020815,SOMERVILLE,17-Sep-2021,9:18 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Turning right,V1: N,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Cloudy,BROADWAY / CUTTER ST,BROADWAY / CUTTER ST,,,, VU2: Pedestrian,234312.6876,904194.6877
5020830,SOMERVILLE,17-Sep-2021,10:23 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Parked / V2: Backing,V1: Not Reported / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Single-unit truck (3-or-more axles)),Dry,Daylight,Clear/Clear,HAWKINS ST / LAKE ST,HAWKINS ST / LAKE ST,,,,,233098.4842,903355.1874
5019056,SOMERVILLE,18-Sep-2021,6:05 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: S  / V2: S  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car) / V3:(Passenger car)",Dry,Daylight,Clear,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.2333,904851.7721
5015650,SOMERVILLE,19-Sep-2021,3:30 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with median barrier),V1:(Passenger car),Wet,Dark - roadway not lighted,Rain,,MCGRATH HIGHWAY Rte SR28 S,,,MCGRATH HWY SOUTH,,,
5020809,SOMERVILLE,19-Sep-2021,6:19 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Head-on,V1: Turning left,V1: S,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dusk,Clear,BEACON ST / FOREST ST,BEACON ST / FOREST ST,,,, VU3: Bicyclist,231686.2658,903951.5
5020822,SOMERVILLE,20-Sep-2021,8:16 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Head-on,V1: Travelling straight ahead / V2: Parked,V1: E  / V2: W,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Tractor/semi-trailer),Wet,Daylight,Clear,,140 HIGHLAND AV,,,,,232734.9925525,904252.46178819
5020819,SOMERVILLE,21-Sep-2021,1:12 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, same direction",V1: Turning right,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,MEDFORD ST / SOMERVILLE AV,MEDFORD ST / SOMERVILLE AV,,,, VU2: Pedestrian,233834.3808,903050.4374
5020823,SOMERVILLE,22-Sep-2021,12:02 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Parked / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Cloudy,,35 HOLLAND ST,,,,,231005.36832943,905298.92450328
5016303,SOMERVILLE,22-Sep-2021,6:20 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: S  / V2: S  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Dusk,Clear,,MYSTIC AVENUE Rte SR38 S / BUTLER DRIVE,,,,,233753.0003,905171.6881
5019679,SOMERVILLE,23-Sep-2021,9:35 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.2333,904851.7721
5020825,SOMERVILLE,23-Sep-2021,11:10 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning right / V2: Parked,V1: W  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Cloudy,,115 SYCAMORE ST,,,,,233030.78152232,904695.87410119
5020896,SOMERVILLE,24-Sep-2021,6:23 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Turning right / V2: Travelling straight ahead,V1: S  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,1260 BROADWAY,,,,,230440.04515022,906136.86650197
5018997,SOMERVILLE,24-Sep-2021,10:19 AM,Non-fatal injury,Possible Injury (C),1,1,0,Single vehicle crash,V1: Leaving traffic lane,V1: N,V1:(Collision with light pole or other post/support),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,FELLSWAY Rte SR28 N / GRAND UNION BOULEVARD,,,COURTHOUSE,,234236.15128029,905354.54267393
5020814,SOMERVILLE,25-Sep-2021,2:54 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning right / V2: Parked,V1: U  / V2: N,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,14 MCGRATH HWY,,,,,234143.26469458,902835.98405787
5016304,SOMERVILLE,25-Sep-2021,6:10 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 93 S,,,PRIOR TO X20,,234564.92975112,904298.77946474
5020818,SOMERVILLE,26-Sep-2021,1:03 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Angle,V1: Slowing or stopped in traffic,V1: N,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Wet,Dark - lighted roadway,Clear,,151 WASHNGTON STREET,,,, VU2: Bicyclist,233815.90603536,903409.67692579
5024749,SOMERVILLE,26-Sep-2021,8:45 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with motor vehicle in traffic),,Wet,Daylight,Not Reported,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.2333,904851.7721
5020486,SOMERVILLE,26-Sep-2021,11:45 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Other / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,Rte 28 N / WASHINGTON STREET,,,,,233801.4018,903349.7058
5030232,SOMERVILLE,26-Sep-2021,11:47 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Entering traffic lane / V2: Entering traffic lane,V1: W  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dawn,Clear,,ALEWIFE BROOK PARKWAY Rte SR16 E / MYSTIC VALLEY-ALEWIFE BROOK ROTARY Rte SR16,,,,,230356.72187107,907177.55382641
5016305,SOMERVILLE,27-Sep-2021,7:34 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: W  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,MYSTIC VALLEY PARKWAY Rte SR16 W / BOSTON AVENUE,MYSTIC VALLEY PARKWAY Rte SR16 W / BOSTON AVENUE,,,,,230500.0313,907407.2502
5019046,SOMERVILLE,27-Sep-2021,11:39 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Slowing or stopped in traffic,V1: W  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,RAMP-RT 28 NB TO WASHINGTON ST / LINWOOD STREET,RAMP-RT 28 NB TO WASHINGTON ST / LINWOOD STREET,,,,,233821.71139525,903305.76596826
5020807,SOMERVILLE,28-Sep-2021,2:31 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Turning right / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,MALLET ST / WILLOW AV,MALLET ST / WILLOW AV,,,,,231825.4376,905462.9373
5016306,SOMERVILLE,28-Sep-2021,3:31 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Turning left,V1: W,V1:(Collision with curb),V1:(Passenger car),Wet,Daylight,Cloudy/Rain,,MYSTIC VALLEY PARKWAY Rte SR16 W / ALEWIFE BROOK PARKWAY,,,,,230340.3843,907176.7553
5020901,SOMERVILLE,28-Sep-2021,6:33 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: N  / V2: N,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Dusk,Rain,,161 WILLOW AV,,,,,231667.01029968,905146.55911129
5021428,SOMERVILLE,29-Sep-2021,7:05 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,"Sideswipe, same direction",V1: Changing lanes / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Motorcycle)",Dry,Daylight,Clear,,MCGRATH HIGHWAY Rte SR28 S / BROADWAY,,,EDMANDS ST - DUNKIN DONUTS,,233886.96945482,904429.24714614
5021789,SOMERVILLE,29-Sep-2021,8:47 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 93 S,,,NORTH from EXIT 20,,234026.98040171,904934.81159625
5020821,SOMERVILLE,29-Sep-2021,10:01 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Leaving traffic lane / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,48 JAQUES ST,,,,,233625.38649704,904915.50531646
5024336,SOMERVILLE,30-Sep-2021,7:52 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 28 S / GILMAN STREET,,,,,233668.0055,903935.7946
5024330,SOMERVILLE,01-Oct-2021,8:30 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,A ALFRED LOMBARDI STREET / RAMP-MYSTIC AVE SB TO BROADWAY,A ALFRED LOMBARDI STREET / RAMP-MYSTIC AVE SB TO BROADWAY,,,RT 93 SB RAMP AT LOMBARDI ST,,234700.2872,904095.2352
5024327,SOMERVILLE,01-Oct-2021,9:46 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V2: Travelling straight ahead / V1: Travelling straight ahead,V2: E  / V1: E,V2:(Collision with motor vehicle in traffic) / V1:(Collision with motor vehicle in traffic),"V2:(Passenger car) / V1:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,Rte 16 E / BOSTON AVENUE,,,,,230500.0313,907407.2502
5020511,SOMERVILLE,01-Oct-2021,9:17 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,,Rte 28 N / MYSTIC AVENUE,,,,,234107.0515,904792.7313
5024487,SOMERVILLE,02-Oct-2021,11:15 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 38 W / SHORE DRIVE,,,,,233646.9071,905276.2661
5033735,SOMERVILLE,03-Oct-2021,1:49 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Parked / V2: Parked / V3: Travelling straight ahead,V1: E  / V2: E  / V3: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with parked motor vehicle),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car) / V3:(Passenger car)",Dry,Dark - lighted roadway,Clear/Clear,,195 HIGHLAND AVENUE,,,,,232404.64293164,904409.18049867
